gispropnum,q1,q2,q3,q4,budsum
X148E,13,229,90,192,524
B090,0,21,14,23,58
X148K2,0,0,125,0,125
Q177,0,0,0,0,0
Q435,0,0,0,0,0
M284,58,81,0,90,229
X023,52,101,44,0,197
M222,0,86,0,162,248
B391,538,624,0,125,1287
Q043,0,0,0,0,0
Q360F,0,89,0,0,89
X071,10,0,13,77,100
M303,0,0,0,0,0
X248,4659,194,0,3718,8571
X129,77,173,241,0,491
M025,0,0,0,959,959
X078,0,56,0,471,527
X067,130,47,236,11,424
X031,0,0,0,0,0
B255N,56,0,0,0,56
X096,19,138,33,0,190
M067,21,283,0,127,431
M224,0,5,0,15,20
